"symbol"	"ensembl"	"entrezgeneid"	"human_mirbase_id"	"human_mirbase_name"	"name"	"chr"	"strand"
"1267"	NA	NA	NA	"MIMAT0004587"	"hsa-miR-23b-5p"	NA	NA	NA
"1268"	"MIR23B"	"ENSG00000207563"	407011	NA	NA	"microRNA 23b"	"chr9"	"+"
"1269"	NA	NA	NA	"MI0016010"	"hsa-mir-23c"	NA	NA	NA
"1270"	NA	NA	NA	"MIMAT0018000"	"hsa-miR-23c"	NA	NA	NA
"1271"	"MIR23C"	"ENSG00000264566"	100500809	NA	NA	"microRNA 23c"	"chrX"	"-"
"1272"	NA	NA	NA	"MIMAT0000080_1"	"hsa-miR-24-3p"	NA	NA	NA
"1273"	NA	NA	NA	"MIMAT0000080"	"hsa-miR-24-3p"	NA	NA	NA
"1274"	"MIR24-1"	"ENSG00000284459"	407012	"MI0000080"	"hsa-mir-24-1"	"microRNA 24-1"	"chr9"	"+"
"1275"	"MIR24-1"	"ENSG00000284459"	407012	"MIMAT0000079"	"hsa-miR-24-1-5p"	"microRNA 24-1"	"chr9"	"+"
"1276"	"MIR24-2"	"ENSG00000284387"	407013	"MI0000081"	"hsa-mir-24-2"	"microRNA 24-2"	"chr19"	"-"
"1277"	"MIR24-2"	"ENSG00000284387"	407013	"MIMAT0004497"	"hsa-miR-24-2-5p"	"microRNA 24-2"	"chr19"	"-"
"1278"	"MIR2467"	"ENSG00000264292"	100616360	"MIMAT0019952"	"hsa-miR-2467-5p"	"microRNA 2467"	"chr2"	"-"
"1279"	"MIR2467"	"ENSG00000264292"	100616360	"MIMAT0019953"	"hsa-miR-2467-3p"	"microRNA 2467"	"chr2"	"-"
"1280"	"MIR2467"	"ENSG00000264292"	100616360	"MI0017432"	"hsa-mir-2467"	"microRNA 2467"	"chr2"	"-"
"1281"	"MIR25"	"ENSG00000207547"	407014	"MIMAT0004498"	"hsa-miR-25-5p"	"microRNA 25"	"chr7"	"-"
"1282"	"MIR25"	"ENSG00000207547"	407014	"MI0000082"	"hsa-mir-25"	"microRNA 25"	"chr7"	"-"
"1283"	"MIR25"	"ENSG00000207547"	407014	"MIMAT0000081"	"hsa-miR-25-3p"	"microRNA 25"	"chr7"	"-"
"1284"	"MIR2681"	"ENSG00000265164"	100616110	"MI0012062"	"hsa-mir-2681"	"microRNA 2681"	"chr13"	"-"
"1285"	"MIR2681"	"ENSG00000265164"	100616110	"MIMAT0013515"	"hsa-miR-2681-5p"	"microRNA 2681"	"chr13"	"-"
"1286"	"MIR2681"	"ENSG00000265164"	100616110	"MIMAT0013516"	"hsa-miR-2681-3p"	"microRNA 2681"	"chr13"	"-"
"1287"	"MIR2682"	"ENSG00000284247"	100616452	"MIMAT0013518"	"hsa-miR-2682-3p"	"microRNA 2682"	"chr1"	"-"
"1288"	"MIR2682"	"ENSG00000284247"	100616452	"MI0012063"	"hsa-mir-2682"	"microRNA 2682"	"chr1"	"-"
"1289"	"MIR2682"	"ENSG00000284247"	100616452	"MIMAT0013517"	"hsa-miR-2682-5p"	"microRNA 2682"	"chr1"	"-"
"1305"	NA	NA	NA	"MIMAT0000082"	"hsa-miR-26a-5p"	NA	NA	NA
"1306"	NA	NA	NA	"MIMAT0000082_1"	"hsa-miR-26a-5p"	NA	NA	NA
"1307"	NA	NA	NA	"MIMAT0004499"	"hsa-miR-26a-1-3p"	NA	NA	NA
"1308"	NA	NA	NA	"MI0000083"	"hsa-mir-26a-1"	NA	NA	NA
"1309"	NA	NA	NA	"MI0000750"	"hsa-mir-26a-2"	NA	NA	NA
"1310"	NA	NA	NA	"MIMAT0004681"	"hsa-miR-26a-2-3p"	NA	NA	NA
"1311"	"MIR26A1"	"ENSG00000199075"	407015	NA	NA	"microRNA 26a-1"	"chr3"	"+"
"1312"	"MIR26A2"	"ENSG00000207789"	407016	NA	NA	"microRNA 26a-2"	"chr12"	"-"
"1313"	NA	NA	NA	"MI0000084"	"hsa-mir-26b"	NA	NA	NA
"1314"	NA	NA	NA	"MIMAT0000083"	"hsa-miR-26b-5p"	NA	NA	NA
"1315"	NA	NA	NA	"MIMAT0004500"	"hsa-miR-26b-3p"	NA	NA	NA
"1316"	"MIR26B"	"ENSG00000199121"	407017	NA	NA	"microRNA 26b"	"chr2"	"+"
"1317"	NA	NA	NA	"MIMAT0004501"	"hsa-miR-27a-5p"	NA	NA	NA
"1318"	NA	NA	NA	"MI0000085"	"hsa-mir-27a"	NA	NA	NA
"1319"	NA	NA	NA	"MIMAT0000084"	"hsa-miR-27a-3p"	NA	NA	NA
"1320"	"MIR27A"	"ENSG00000207808"	407018	NA	NA	"microRNA 27a"	"chr19"	"-"
"1321"	NA	NA	NA	"MI0000440"	"hsa-mir-27b"	NA	NA	NA
"1322"	NA	NA	NA	"MIMAT0000419"	"hsa-miR-27b-3p"	NA	NA	NA
"1323"	NA	NA	NA	"MIMAT0004588"	"hsa-miR-27b-5p"	NA	NA	NA
"1324"	"MIR27B"	"ENSG00000207864"	407019	NA	NA	"microRNA 27b"	"chr9"	"+"
"1325"	"MIR28"	"ENSG00000207651"	407020	"MI0000086"	"hsa-mir-28"	"microRNA 28"	"chr3"	"+"
"1326"	"MIR28"	"ENSG00000207651"	407020	"MIMAT0004502"	"hsa-miR-28-3p"	"microRNA 28"	"chr3"	"+"
"1327"	"MIR28"	"ENSG00000207651"	407020	"MIMAT0000085"	"hsa-miR-28-5p"	"microRNA 28"	"chr3"	"+"
"1328"	"MIR2861"	"ENSG00000284547"	100422910	"MI0013006"	"hsa-mir-2861"	"microRNA 2861"	"chr9"	"+"
"1329"	"MIR2861"	"ENSG00000284547"	100422910	"MIMAT0013802"	"hsa-miR-2861"	"microRNA 2861"	"chr9"	"+"
"1330"	"MIR2909"	"ENSG00000276326"	100422969	"MI0013083"	"hsa-mir-2909"	"microRNA 2909"	"chr17"	"+"
"1331"	"MIR2909"	"ENSG00000276326"	100422969	"MIMAT0013863"	"hsa-miR-2909"	"microRNA 2909"	"chr17"	"+"
"1332"	"MIR296"	"ENSG00000284040"	407022	"MIMAT0000690"	"hsa-miR-296-5p"	"microRNA 296"	"chr20"	"-"
"1333"	"MIR296"	"ENSG00000284040"	407022	"MI0000747"	"hsa-mir-296"	"microRNA 296"	"chr20"	"-"
"1334"	"MIR296"	"ENSG00000284040"	407022	"MIMAT0004679"	"hsa-miR-296-3p"	"microRNA 296"	"chr20"	"-"
"1335"	"MIR297"	"ENSG00000215961"	100126354	"MIMAT0004450"	"hsa-miR-297"	"microRNA 297"	"chr4"	"-"
"1336"	"MIR297"	"ENSG00000215961"	100126354	"MI0005775"	"hsa-mir-297"	"microRNA 297"	"chr4"	"-"
"1337"	"MIR298"	"ENSG00000216031"	100126296	"MI0005523"	"hsa-mir-298"	"microRNA 298"	"chr20"	"-"
"1338"	"MIR298"	"ENSG00000216031"	100126296	"MIMAT0004901"	"hsa-miR-298"	"microRNA 298"	"chr20"	"-"
"1339"	"MIR299"	"ENSG00000207749"	407023	"MIMAT0000687"	"hsa-miR-299-3p"	"microRNA 299"	"chr14"	"+"
"1340"	"MIR299"	"ENSG00000207749"	407023	"MI0000744"	"hsa-mir-299"	"microRNA 299"	"chr14"	"+"
"1341"	"MIR299"	"ENSG00000207749"	407023	"MIMAT0002890"	"hsa-miR-299-5p"	"microRNA 299"	"chr14"	"+"
"1342"	NA	NA	NA	"MIMAT0000086"	"hsa-miR-29a-3p"	NA	NA	NA
"1343"	NA	NA	NA	"MIMAT0004503"	"hsa-miR-29a-5p"	NA	NA	NA
"1344"	NA	NA	NA	"MI0000087"	"hsa-mir-29a"	NA	NA	NA
"1345"	"MIR29A"	"ENSG00000284032"	407021	NA	NA	"microRNA 29a"	"chr7"	"-"
"1346"	NA	NA	NA	"MIMAT0000100"	"hsa-miR-29b-3p"	NA	NA	NA
"1348"	NA	NA	NA	"MIMAT0000100_1"	"hsa-miR-29b-3p"	NA	NA	NA
"1349"	NA	NA	NA	"MIMAT0004514"	"hsa-miR-29b-1-5p"	NA	NA	NA
"1350"	NA	NA	NA	"MI0000105"	"hsa-mir-29b-1"	NA	NA	NA
"1351"	NA	NA	NA	"MIMAT0004515"	"hsa-miR-29b-2-5p"	NA	NA	NA
"1352"	NA	NA	NA	"MI0000107"	"hsa-mir-29b-2"	NA	NA	NA
"1355"	"MIR29B1"	"ENSG00000283797"	407024	NA	NA	"microRNA 29b-1"	"chr7"	"-"
"1356"	"MIR29B2"	"ENSG00000284203"	407025	NA	NA	"microRNA 29b-2"	"chr1"	"-"
"1359"	"MIR29B2CHG"	NA	100128537	NA	NA	"MIR29B2 and MIR29C host gene"	"chr1"	"-"
"1365"	NA	NA	NA	"MIMAT0000681"	"hsa-miR-29c-3p"	NA	NA	NA
"1366"	NA	NA	NA	"MI0000735"	"hsa-mir-29c"	NA	NA	NA
"1367"	NA	NA	NA	"MIMAT0004673"	"hsa-miR-29c-5p"	NA	NA	NA
"1371"	"MIR29C"	"ENSG00000284214"	407026	NA	NA	"microRNA 29c"	"chr1"	"-"
"1374"	"MIR300"	"ENSG00000215957"	100126297	"MI0005525"	"hsa-mir-300"	"microRNA 300"	"chr14"	"+"
"1375"	"MIR300"	"ENSG00000215957"	100126297	"MIMAT0004903"	"hsa-miR-300"	"microRNA 300"	"chr14"	"+"
"1376"	NA	NA	NA	"MI0000745"	"hsa-mir-301a"	NA	NA	NA
"1377"	NA	NA	NA	"MIMAT0022696"	"hsa-miR-301a-5p"	NA	NA	NA
"1378"	NA	NA	NA	"MIMAT0000688"	"hsa-miR-301a-3p"	NA	NA	NA
"1379"	"MIR301A"	"ENSG00000207996"	407027	NA	NA	"microRNA 301a"	"chr17"	"-"
"1380"	NA	NA	NA	"MIMAT0032026"	"hsa-miR-301b-5p"	NA	NA	NA
"1381"	NA	NA	NA	"MI0005568"	"hsa-mir-301b"	NA	NA	NA
"1382"	NA	NA	NA	"MIMAT0004958"	"hsa-miR-301b-3p"	NA	NA	NA
"1383"	"MIR301B"	"ENSG00000212102"	100126318	NA	NA	"microRNA 301b"	"chr22"	"+"
"1384"	NA	NA	NA	"MIMAT0000684"	"hsa-miR-302a-3p"	NA	NA	NA
"1385"	NA	NA	NA	"MIMAT0000683"	"hsa-miR-302a-5p"	NA	NA	NA
"1386"	NA	NA	NA	"MI0000738"	"hsa-mir-302a"	NA	NA	NA
"1387"	"MIR302A"	"ENSG00000207927"	407028	NA	NA	"microRNA 302a"	"chr4"	"-"
"1388"	NA	NA	NA	"MIMAT0000715"	"hsa-miR-302b-3p"	NA	NA	NA
"1389"	NA	NA	NA	"MI0000772"	"hsa-mir-302b"	NA	NA	NA
"1390"	NA	NA	NA	"MIMAT0000714"	"hsa-miR-302b-5p"	NA	NA	NA
"1391"	"MIR302B"	"ENSG00000284463"	442894	NA	NA	"microRNA 302b"	"chr4"	"-"
"1392"	NA	NA	NA	"MI0000773"	"hsa-mir-302c"	NA	NA	NA
"1393"	NA	NA	NA	"MIMAT0000716"	"hsa-miR-302c-5p"	NA	NA	NA
"1394"	NA	NA	NA	"MIMAT0000717"	"hsa-miR-302c-3p"	NA	NA	NA
"1395"	"MIR302CHG"	"ENSG00000249532"	109864269	NA	NA	"miR-302/367 cluster host gene"	"chr4"	"-"
"1396"	"MIR302C"	"ENSG00000199102"	442895	NA	NA	"microRNA 302c"	"chr4"	"-"
"1397"	NA	NA	NA	"MI0000774"	"hsa-mir-302d"	NA	NA	NA
"1398"	NA	NA	NA	"MIMAT0004685"	"hsa-miR-302d-5p"	NA	NA	NA
"1399"	NA	NA	NA	"MIMAT0000718"	"hsa-miR-302d-3p"	NA	NA	NA
"1400"	"MIR302D"	"ENSG00000199145"	442896	NA	NA	"microRNA 302d"	"chr4"	"-"
"1401"	NA	NA	NA	"MI0006417"	"hsa-mir-302e"	NA	NA	NA
"1402"	NA	NA	NA	"MIMAT0005931"	"hsa-miR-302e"	NA	NA	NA
"1403"	"MIR302E"	"ENSG00000221703"	100313774	NA	NA	"microRNA 302e"	"chr11"	"+"
"1404"	NA	NA	NA	"MI0006418"	"hsa-mir-302f"	NA	NA	NA
"1405"	NA	NA	NA	"MIMAT0005932"	"hsa-miR-302f"	NA	NA	NA
"1406"	"MIR302F"	"ENSG00000283218"	100302131	NA	NA	"microRNA 302f"	"chr18"	"+"
"1407"	"MIR3059"	NA	113839519	"MI0039499"	"hsa-mir-3059"	"microRNA 3059"	NA	NA
"1408"	"MIR3059"	NA	113839519	"MIMAT0048634"	"hsa-miR-3059-3p"	"microRNA 3059"	NA	NA
"1409"	"MIR3059"	NA	113839519	"MIMAT0048633"	"hsa-miR-3059-5p"	"microRNA 3059"	NA	NA
"1410"	"MIR3064"	"ENSG00000284564"	100616387	"MIMAT0019865"	"hsa-miR-3064-3p"	"microRNA 3064"	"chr17"	"-"
"1411"	"MIR3064"	"ENSG00000284564"	100616387	"MIMAT0019864"	"hsa-miR-3064-5p"	"microRNA 3064"	"chr17"	"-"
"1412"	"MIR3064"	"ENSG00000284564"	100616387	"MI0017375"	"hsa-mir-3064"	"microRNA 3064"	"chr17"	"-"
"1413"	"MIR3065"	"ENSG00000211563"	100422915	"MIMAT0015066"	"hsa-miR-3065-5p"	"microRNA 3065"	"chr17"	"+"
"1414"	"MIR3065"	"ENSG00000211563"	100422915	"MIMAT0015378"	"hsa-miR-3065-3p"	"microRNA 3065"	"chr17"	"+"
"1415"	"MIR3065"	"ENSG00000211563"	100422915	"MI0014228"	"hsa-mir-3065"	"microRNA 3065"	"chr17"	"+"
"1416"	"MIR3074"	"ENSG00000207617"	100422842	"MIMAT0019208"	"hsa-miR-3074-5p"	"microRNA 3074"	"chr9"	"-"
"1417"	"MIR3074"	"ENSG00000207617"	100422842	"MIMAT0015027"	"hsa-miR-3074-3p"	"microRNA 3074"	"chr9"	"-"
"1418"	"MIR3074"	"ENSG00000207617"	100422842	"MI0014181"	"hsa-mir-3074"	"microRNA 3074"	"chr9"	"-"
"1419"	"MIR3085"	NA	113839520	"MI0039500"	"hsa-mir-3085"	"microRNA 3085"	NA	NA
"1420"	"MIR3085"	NA	113839520	"MIMAT0048635"	"hsa-miR-3085-5p"	"microRNA 3085"	NA	NA
"1421"	"MIR3085"	NA	113839520	"MIMAT0048636"	"hsa-miR-3085-3p"	"microRNA 3085"	NA	NA
"1422"	NA	NA	NA	"MIMAT0000087"	"hsa-miR-30a-5p"	NA	NA	NA
"1423"	NA	NA	NA	"MI0000088"	"hsa-mir-30a"	NA	NA	NA
"1424"	NA	NA	NA	"MIMAT0000088"	"hsa-miR-30a-3p"	NA	NA	NA
"1425"	"MIR30A"	"ENSG00000207827"	407029	NA	NA	"microRNA 30a"	"chr6"	"-"
"1426"	NA	NA	NA	"MIMAT0004589"	"hsa-miR-30b-3p"	NA	NA	NA
"1427"	NA	NA	NA	"MI0000441"	"hsa-mir-30b"	NA	NA	NA
"1428"	NA	NA	NA	"MIMAT0000420"	"hsa-miR-30b-5p"	NA	NA	NA
"1429"	"MIR30B"	"ENSG00000207582"	407030	NA	NA	"microRNA 30b"	"chr8"	"-"
"1430"	NA	NA	NA	"MIMAT0000244"	"hsa-miR-30c-5p"	NA	NA	NA
"1431"	NA	NA	NA	"MIMAT0000244_1"	"hsa-miR-30c-5p"	NA	NA	NA
"1432"	NA	NA	NA	"MI0000736"	"hsa-mir-30c-1"	NA	NA	NA
"1433"	NA	NA	NA	"MIMAT0004674"	"hsa-miR-30c-1-3p"	NA	NA	NA
"1434"	NA	NA	NA	"MIMAT0004550"	"hsa-miR-30c-2-3p"	NA	NA	NA
"1435"	NA	NA	NA	"MI0000254"	"hsa-mir-30c-2"	NA	NA	NA
"1436"	"MIR30C1"	"ENSG00000207962"	407031	NA	NA	"microRNA 30c-1"	"chr1"	"+"
"1439"	"MIR30C2"	"ENSG00000199094"	407032	NA	NA	"microRNA 30c-2"	"chr6"	"-"
"1440"	NA	NA	NA	"MIMAT0004551"	"hsa-miR-30d-3p"	NA	NA	NA
"1441"	NA	NA	NA	"MI0000255"	"hsa-mir-30d"	NA	NA	NA
"1442"	NA	NA	NA	"MIMAT0000245"	"hsa-miR-30d-5p"	NA	NA	NA
"1443"	"MIR30D"	"ENSG00000199153"	407033	NA	NA	"microRNA 30d"	"chr8"	"-"
"1444"	NA	NA	NA	"MI0000749"	"hsa-mir-30e"	NA	NA	NA
"1445"	NA	NA	NA	"MIMAT0000692"	"hsa-miR-30e-5p"	NA	NA	NA
"1446"	NA	NA	NA	"MIMAT0000693"	"hsa-miR-30e-3p"	NA	NA	NA
"1447"	"MIR30E"	"ENSG00000198974"	407034	NA	NA	"microRNA 30e"	"chr1"	"+"
"1450"	"MIR31"	"ENSG00000199177"	407035	"MI0000089"	"hsa-mir-31"	"microRNA 31"	"chr9"	"-"
"1451"	"MIR31"	"ENSG00000199177"	407035	"MIMAT0004504"	"hsa-miR-31-3p"	"microRNA 31"	"chr9"	"-"
"1452"	"MIR31"	"ENSG00000199177"	407035	"MIMAT0000089"	"hsa-miR-31-5p"	"microRNA 31"	"chr9"	"-"
"1453"	"MIR31HG"	"ENSG00000171889"	554202	"MI0000089"	"hsa-mir-31"	"MIR31 host gene"	"chr9"	"-"
"1454"	"MIR31HG"	"ENSG00000171889"	554202	"MIMAT0004504"	"hsa-miR-31-3p"	"MIR31 host gene"	"chr9"	"-"
"1455"	"MIR31HG"	"ENSG00000171889"	554202	"MIMAT0000089"	"hsa-miR-31-5p"	"MIR31 host gene"	"chr9"	"-"
"1456"	"MIR3115"	"ENSG00000263793"	100422866	"MIMAT0014977"	"hsa-miR-3115"	"microRNA 3115"	"chr1"	"+"
"1457"	"MIR3115"	"ENSG00000263793"	100422866	"MI0014127"	"hsa-mir-3115"	"microRNA 3115"	"chr1"	"+"
"1460"	NA	NA	NA	"MIMAT0014978_1"	"hsa-miR-3116"	NA	NA	NA
"1461"	NA	NA	NA	"MIMAT0014978"	"hsa-miR-3116"	NA	NA	NA
"1462"	"MIR3116-1"	"ENSG00000263908"	100422902	"MI0014128"	"hsa-mir-3116-1"	"microRNA 3116-1"	"chr1"	"+"
"1464"	"MIR3116-2"	"ENSG00000283690"	100422946	"MI0014129"	"hsa-mir-3116-2"	"microRNA 3116-2"	"chr1"	"-"
"1466"	"MIR3117"	"ENSG00000264720"	100422871	"MI0014130"	"hsa-mir-3117"	"microRNA 3117"	"chr1"	"+"
"1467"	"MIR3117"	"ENSG00000264720"	100422871	"MIMAT0019197"	"hsa-miR-3117-5p"	"microRNA 3117"	"chr1"	"+"
"1468"	"MIR3117"	"ENSG00000264720"	100422871	"MIMAT0014979"	"hsa-miR-3117-3p"	"microRNA 3117"	"chr1"	"+"
"1475"	NA	NA	NA	"MIMAT0014980_2"	"hsa-miR-3118"	NA	NA	NA
"1476"	NA	NA	NA	"MIMAT0014980_1"	"hsa-miR-3118"	NA	NA	NA
"1477"	NA	NA	NA	"MIMAT0014980_3"	"hsa-miR-3118"	NA	NA	NA
"1478"	NA	NA	NA	"MIMAT0014980"	"hsa-miR-3118"	NA	NA	NA
"1479"	"MIR3118-1"	"ENSG00000266299"	100423008	"MI0014131"	"hsa-mir-3118-1"	"microRNA 3118-1"	"chr21"	"-"
"1480"	"MIR3118-2"	"ENSG00000265322"	100422949	"MI0014132"	"hsa-mir-3118-2"	"microRNA 3118-2"	"chr15"	"+"
"1481"	"MIR3118-3"	"ENSG00000277243"	100422844	"MI0014133"	"hsa-mir-3118-3"	"microRNA 3118-3"	NA	NA
"1482"	"MIR3118-4"	"ENSG00000265793"	100422935	"MI0014207"	"hsa-mir-3118-4"	"microRNA 3118-4"	NA	NA
"1483"	NA	NA	NA	"MIMAT0014981"	"hsa-miR-3119"	NA	NA	NA
"1484"	NA	NA	NA	"MIMAT0014981_1"	"hsa-miR-3119"	NA	NA	NA
"1485"	"MIR3119-1"	"ENSG00000283340"	100422839	"MI0014134"	"hsa-mir-3119-1"	"microRNA 3119-1"	"chr1"	"-"
"1487"	"MIR3119-2"	"ENSG00000263390"	100423010	"MI0014135"	"hsa-mir-3119-2"	"microRNA 3119-2"	"chr1"	"+"
"1489"	"MIR3120"	"ENSG00000283152"	100422882	"MI0014136"	"hsa-mir-3120"	"microRNA 3120"	"chr1"	"+"
"1490"	"MIR3120"	"ENSG00000283152"	100422882	"MIMAT0014982"	"hsa-miR-3120-3p"	"microRNA 3120"	"chr1"	"+"
"1491"	"MIR3120"	"ENSG00000283152"	100422882	"MIMAT0019198"	"hsa-miR-3120-5p"	"microRNA 3120"	"chr1"	"+"
"1498"	"MIR3121"	"ENSG00000265435"	100423032	"MI0014137"	"hsa-mir-3121"	"microRNA 3121"	"chr1"	"-"
"1499"	"MIR3121"	"ENSG00000265435"	100423032	"MIMAT0019199"	"hsa-miR-3121-5p"	"microRNA 3121"	"chr1"	"-"
"1500"	"MIR3121"	"ENSG00000265435"	100423032	"MIMAT0014983"	"hsa-miR-3121-3p"	"microRNA 3121"	"chr1"	"-"
"1507"	"MIR3122"	"ENSG00000264358"	100422947	"MI0014138"	"hsa-mir-3122"	"microRNA 3122"	"chr1"	"+"
"1508"	"MIR3122"	"ENSG00000264358"	100422947	"MIMAT0014984"	"hsa-miR-3122"	"microRNA 3122"	"chr1"	"+"
"1511"	"MIR3123"	"ENSG00000265831"	100422856	"MI0014139"	"hsa-mir-3123"	"microRNA 3123"	"chr1"	"+"
"1512"	"MIR3123"	"ENSG00000265831"	100422856	"MIMAT0014985"	"hsa-miR-3123"	"microRNA 3123"	"chr1"	"+"
"1515"	"MIR3124"	"ENSG00000264500"	100422879	"MI0014140"	"hsa-mir-3124"	"microRNA 3124"	"chr1"	"+"
"1516"	"MIR3124"	"ENSG00000264500"	100422879	"MIMAT0019200"	"hsa-miR-3124-3p"	"microRNA 3124"	"chr1"	"+"
"1517"	"MIR3124"	"ENSG00000264500"	100422879	"MIMAT0014986"	"hsa-miR-3124-5p"	"microRNA 3124"	"chr1"	"+"
"1524"	"MIR3125"	"ENSG00000264370"	100422986	"MI0014142"	"hsa-mir-3125"	"microRNA 3125"	"chr2"	"+"
"1525"	"MIR3125"	"ENSG00000264370"	100422986	"MIMAT0014988"	"hsa-miR-3125"	"microRNA 3125"	"chr2"	"+"
"1526"	"MIR3126"	"ENSG00000266649"	100423030	"MIMAT0014989"	"hsa-miR-3126-5p"	"microRNA 3126"	"chr2"	"+"
"1527"	"MIR3126"	"ENSG00000266649"	100423030	"MIMAT0015377"	"hsa-miR-3126-3p"	"microRNA 3126"	"chr2"	"+"
"1528"	"MIR3126"	"ENSG00000266649"	100423030	"MI0014143"	"hsa-mir-3126"	"microRNA 3126"	"chr2"	"+"
"1529"	"MIR3127"	"ENSG00000264157"	100422928	"MI0014144"	"hsa-mir-3127"	"microRNA 3127"	"chr2"	"+"
"1530"	"MIR3127"	"ENSG00000264157"	100422928	"MIMAT0019201"	"hsa-miR-3127-3p"	"microRNA 3127"	"chr2"	"+"
"1531"	"MIR3127"	"ENSG00000264157"	100422928	"MIMAT0014990"	"hsa-miR-3127-5p"	"microRNA 3127"	"chr2"	"+"
"1532"	"MIR3128"	"ENSG00000265396"	100422824	"MIMAT0014991"	"hsa-miR-3128"	"microRNA 3128"	"chr2"	"-"
"1533"	"MIR3128"	"ENSG00000265396"	100422824	"MI0014145"	"hsa-mir-3128"	"microRNA 3128"	"chr2"	"-"
"1534"	"MIR3129"	"ENSG00000264725"	100422908	"MI0014146"	"hsa-mir-3129"	"microRNA 3129"	"chr2"	"-"
"1535"	"MIR3129"	"ENSG00000264725"	100422908	"MIMAT0014992"	"hsa-miR-3129-5p"	"microRNA 3129"	"chr2"	"-"
"1536"	"MIR3129"	"ENSG00000264725"	100422908	"MIMAT0019202"	"hsa-miR-3129-3p"	"microRNA 3129"	"chr2"	"-"
"1537"	NA	NA	NA	"MIMAT0014994"	"hsa-miR-3130-3p"	NA	NA	NA
"1538"	NA	NA	NA	"MIMAT0014995"	"hsa-miR-3130-5p"	NA	NA	NA
"1539"	NA	NA	NA	"MIMAT0014994_1"	"hsa-miR-3130-3p"	NA	NA	NA
"1540"	NA	NA	NA	"MIMAT0014995_1"	"hsa-miR-3130-5p"	NA	NA	NA
"1541"	"MIR3130-1"	"ENSG00000283469"	100422993	"MI0014147"	"hsa-mir-3130-1"	"microRNA 3130-1"	"chr2"	"-"
"1542"	"MIR3130-2"	"ENSG00000263468"	100423002	"MI0014148"	"hsa-mir-3130-2"	"microRNA 3130-2"	"chr2"	"+"
"1543"	"MIR3131"	"ENSG00000264755"	100422957	"MIMAT0014996"	"hsa-miR-3131"	"microRNA 3131"	"chr2"	"-"
"1544"	"MIR3131"	"ENSG00000264755"	100422957	"MI0014151"	"hsa-mir-3131"	"microRNA 3131"	"chr2"	"-"
"1545"	"MIR3132"	"ENSG00000265252"	100423039	"MI0014152"	"hsa-mir-3132"	"microRNA 3132"	"chr2"	"-"
"1546"	"MIR3132"	"ENSG00000265252"	100423039	"MIMAT0014997"	"hsa-miR-3132"	"microRNA 3132"	"chr2"	"-"
"1547"	"MIR3133"	"ENSG00000263752"	100422942	"MIMAT0014998"	"hsa-miR-3133"	"microRNA 3133"	"chr2"	"+"
"1548"	"MIR3133"	"ENSG00000263752"	100422942	"MI0014153"	"hsa-mir-3133"	"microRNA 3133"	"chr2"	"+"
"1549"	"MIR3134"	"ENSG00000264354"	100422990	"MI0014155"	"hsa-mir-3134"	"microRNA 3134"	"chr3"	"-"
"1550"	"MIR3134"	"ENSG00000264354"	100422990	"MIMAT0015000"	"hsa-miR-3134"	"microRNA 3134"	"chr3"	"-"
"1551"	NA	NA	NA	"MIMAT0015001"	"hsa-miR-3135a"	NA	NA	NA
"1552"	NA	NA	NA	"MI0014156"	"hsa-mir-3135a"	NA	NA	NA
"1553"	"MIR3135A"	"ENSG00000266745"	100422901	NA	NA	"microRNA 3135a"	"chr3"	"+"
"1554"	NA	NA	NA	"MIMAT0018985"	"hsa-miR-3135b"	NA	NA	NA
"1555"	NA	NA	NA	"MI0016809"	"hsa-mir-3135b"	NA	NA	NA
"1556"	"MIR3135B"	"ENSG00000263649"	100616218	NA	NA	"microRNA 3135b"	"chr6"	"-"
"1557"	"MIR3136"	"ENSG00000265355"	100422859	"MI0014158"	"hsa-mir-3136"	"microRNA 3136"	"chr3"	"-"
"1558"	"MIR3136"	"ENSG00000265355"	100422859	"MIMAT0019203"	"hsa-miR-3136-3p"	"microRNA 3136"	"chr3"	"-"
"1559"	"MIR3136"	"ENSG00000265355"	100422859	"MIMAT0015003"	"hsa-miR-3136-5p"	"microRNA 3136"	"chr3"	"-"
"1560"	"MIR3137"	"ENSG00000265333"	100422926	"MI0014160"	"hsa-mir-3137"	"microRNA 3137"	"chr3"	"-"
"1561"	"MIR3137"	"ENSG00000265333"	100422926	"MIMAT0015005"	"hsa-miR-3137"	"microRNA 3137"	"chr3"	"-"
"1562"	"MIR3138"	"ENSG00000264931"	100423011	"MIMAT0015006"	"hsa-miR-3138"	"microRNA 3138"	"chr4"	"-"
"1563"	"MIR3138"	"ENSG00000264931"	100423011	"MI0014161"	"hsa-mir-3138"	"microRNA 3138"	"chr4"	"-"
"1564"	"MIR3139"	"ENSG00000265623"	100423017	"MI0014162"	"hsa-mir-3139"	"microRNA 3139"	"chr4"	"+"
"1565"	"MIR3139"	"ENSG00000265623"	100423017	"MIMAT0015007"	"hsa-miR-3139"	"microRNA 3139"	"chr4"	"+"
"1566"	"MIR3140"	"ENSG00000264678"	100422896	"MI0014163"	"hsa-mir-3140"	"microRNA 3140"	"chr4"	"-"
"1567"	"MIR3140"	"ENSG00000264678"	100422896	"MIMAT0019204"	"hsa-miR-3140-5p"	"microRNA 3140"	"chr4"	"-"
